Filename,pg_latency,rtos_latency,pg_energy,rtos_energy
q5-006.sql,65.98,73.244,352.61078605200004,815.9790054700001
6a0a83d48d978e0b0aed957611a8ef8f72841a29.sql,118.292,95.265,1287.7518867919998,1765.042370925
q4-053.sql,448.629,390.635,20420.440488477154,21968.624039075
29a1dce7fffd5a75aa3129c8174604cc338be16a.sql,7004.533,8539.29,101149.29512233305,110212.43477275
q10-019.sql,361.947,356.512,106493.9224935795,101762.06561911835
833a029b2e1c3232afdd4ddf0c2777f9697d87a9.sql,121.21,119.907,108235.81275081326,107503.4674623645
0d7b9a96dac7739f4a3c6f26e3ab9bee9d651cb9.sql,595.944,636.539,146924.73067287056,149556.112589248
bf0494b378c470880f583adbace92f44b7cdced9.sql,655.029,647.177,157618.19884550106,159895.575488609
1ee627fb4a07dd72b21468e0e3390bb06057e844.sql,520.864,536.506,165914.03073240595,162697.62097206502
81d1470cb36d3c596bbe784edd3bbaaab752d52b.sql,812.892,836.273,175534.95786249818,175906.838759692
19d5f4f639f9b4e84defc76cac7386f0cd7202dd.sql,1522.567,2123.041,223362.30118857423,235140.22615552798
3adeeea5eb827463288cbbb829c4a4456a74025f.sql,54.937,46.002,226052.57859097127,218352.71157941702
46a263c15c73be8058e179dc0ff47cd1dc9851a7.sql,78.756,77.947,230156.93982281,238458.472089651
300371fc7b3e8c2b1022dfbce6c254f1e8b12293.sql,253.406,258.827,233112.999342304,228466.45776741666
3a72b6a6c82096d1a396b0e9187239794d90dd7b.sql,1068.192,1071.727,277953.7911233229,284399.1549975
5841c4491c066cfb2cbf271ed374fb645597a0d0.sql,125.828,119.795,281206.0014828858,287815.4550179234
7f9d1f0beb2b6cb468114c9cddc560041e687f96.sql,59.719,51.034,284524.87931784365,283801.75387732004
0332f8c293c4a68f982fc065ab161cb615578170.sql,85.449,84.371,287510.2435273176,281816.88906659
q7-065.sql,3443.677,3425.04,295965.32109241735,313216.75856461684
c0388fd7a904449e9f7295909693fb806dfcc0e2.sql,1140.016,1122.294,319273.2590249271,326606.7278694168
q10-046.sql,379.561,366.828,329608.48725326406,315005.9077276884
cca4ae2c8e1f278e8bd5e8a43561647d3815ff56.sql,409.925,263.009,323553.2441070901,316518.28359975765
82225e69aa7bfee82b860fea9346a5cea3e7d57a.sql,1111.66,1070.84,328199.5155157594,325601.71509004425
q3-097.sql,6868.844,6866.881,341062.7106586128,375466.075264865
f37e50e267f76a99c82fab216a02028ed179e17e.sql,432.588,373.503,341884.6461162992,336713.5812489271
a167063a9d9c3accf45dc13c4c9a7c685be2e626.sql,352.111,342.358,343854.9448468911,354263.103211216
7f5c96049247ea4a37bb733cc191153939878a0e.sql,300.571,215.16,352748.9984129767,344913.86716690497
9f29ebe72df7a8c4ed569084f61a167993a84c0d.sql,157.601,148.293,357835.54044399265,367534.03010452836
d7d9713426b8ec2f9572deedf07cc8f3a7deca4a.sql,943.025,711.279,376045.29876557883,374151.242105473
q1-042.sql,30.418,26.742,365029.0892050226,376297.650121672
e66c0cfc3692c8eff5c149f7037905f0b2127c22.sql,281.15,259.468,380214.8623155144,388609.82611719
15ad176de990e4f1d13d84a68be1ccde4fecd706.sql,216.702,178.27,386889.1776479644,391658.83527404297
q3-030.sql,7922.323,7962.451,474519.5067380971,523715.57218908536
9551887ae1201a111b98e097ee7d0b37f60469b9.sql,8999.124,9013.749,494934.93566201447,537537.799609057
18c94410f2ce0f4031fb9c8b2e9362916bb2400e.sql,460.909,330.795,510755.08020841226,516169.1795242776
8552970fe901f1cdf7f69acc66682f35242aac11.sql,236.67,163.037,502013.5573474992,506736.2820202173
0f23cb8da3204c7ea114503c4da26466627489a2.sql,105.748,95.952,501750.11113641865,513868.6909718699
a33aaed1814972bee0142c2e7f28f9bc11534e9b.sql,122.645,118.705,535215.7861252715,542111.0344100775
96456b741024cadd7e0d7f77b83284ca63d946fc.sql,115.251,103.056,576024.9148314255,531265.840528654
6f9d9560884e7ef74773a3bd45aeb7396b5531be.sql,1812.34,1640.886,555150.1984009773,621315.5130474368
bd61dd0363106abab7daa8fe841071bf1aeebe4c.sql,6123.672,6132.182,598946.8081339013,621561.1546691455
5fe99fb6e638650c17fb2a76b253c3c74a33d6a9.sql,60.261,48.681,594373.3228224538,586006.4373747052
